idx,Geostat_Mu_K,Geostat_Mu_Ss,Geostat_Corr_Ss,Geostat_Rho,Phys_Perc_Betti0,Phys_Perc_Backbone,Phys_Perc_Tortuosity,Target_LogTau_q,Target_LogTau_h
4160,-6.274385066119449,-5.145306250540481,8.717498623769275,-0.03718722495988935,0.0062188667980920525,0.5669243350476676,1.0124688279301746,0.9266062732292156,1.4577936857902811
4161,-2.7719226296364674,-9.97859073500736,36.98222555193093,-0.17321443670425496,20.963799976368307,0.518510457024521,1.0099750623441397,-0.186928688588657,-0.291540296796641
4162,-2.640118120756357,-8.870394173869752,61.13926403965791,0.20700380127583995,0.0062188667980920525,0.5467814254886475,1.0,0.4300192131868566,0.5175301441262432
4163,-10.602466934829636,-4.863395750654792,11.37499187682536,-0.9819731868184045,40.16766064887656,0.009558398268667483,1.0074812967581048,1.169613850977345,1.7616351467115183
4164,-6.103063804892011,-7.022044991097978,56.17960756397231,0.2041565556417071,0.0062188667980920525,0.48260272013233746,1.0,0.9648405292515944,1.734099873545058
4165,-10.24333826803591,-6.703281536385706,60.91752880385103,0.4113177631110936,0.012437733596184105,0.45284544250346703,1.2194513715710724,0.9808662370124708,1.8200887526912173
4166,-10.085162118478154,-8.043473050463927,10.285390024555497,0.5651486876276057,0.13681506955802514,0.228549573696681,1.1097256857855362,1.0737453504340908,1.7986020204867046
4167,-8.362465486857703,-6.113198700759317,15.148059894796583,-0.7198797026991878,0.0062188667980920525,0.44809422826972467,1.0,1.1581597383767086,1.7362097612566978
4168,-8.402956239163577,-6.1357129646051,67.12427266636927,-0.2561648551767405,0.012437733596184105,0.37927624828203804,1.2069825436408979,1.0720533444203997,1.6132474803718984
4169,-2.8913375436484365,-8.50975727799295,13.258666080995201,-0.3402614937878202,0.12437733596184103,0.03322740530220583,1.2418952618453865,0.7727620510226068,1.455545961006642
4170,-3.1072040432407935,-8.869328496273372,15.054474557226616,-0.8127342952295215,0.0062188667980920525,0.5600089551681893,1.0,0.5164896775546368,0.6001890851931728
4171,-5.208314925109654,-6.294631053041612,40.46825535029088,0.29301127156367746,0.02487546719236821,0.5855933731755399,1.0,1.0434458790158092,1.692876656884223
4172,-9.948659707274667,-5.689288689317268,11.988195416990843,0.7482574984364043,0.0062188667980920525,0.5612651662614039,1.0897755610972568,1.2999392523847466,1.88410354947166
4173,-3.620988429864747,-8.251392772793725,61.972017710163755,-0.6110774811415391,0.012437733596184105,0.5537589940361067,1.0174563591022443,0.5440237485157838,1.0053528137390102
