idx,Geostat_Mu_K,Geostat_Mu_Ss,Geostat_Rho,Model_Type,Phys_Perc_Backbone,Phys_Perc_Betti0,Phys_Perc_ClusterSize,Phys_Info_Entropy,Phys_Info_Div,Phys_Morph_Lacunarity,Phys_Morph_Perimeter,Target_K_eff,Target_LogTau_q,Target_LogTau_h,DPL_a1,DPL_a2,DPL_b0
52,-8.40302678562458,-7.7017411536937095,0.04842874294429467,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0018527149826027254,0.9392286722838848,1.6146956557344794,8.694180899216814,6.390300004014041,-0.0018527149826027254
53,-3.6530156608613424,-7.427018482204279,-0.7831879514316716,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.06035875737031954,0.9991071314243105,1.7271408692338026,9.97946206054537,7.668276703493924,-0.06035875737031954
54,-11.97888748231393,-7.214281597760248,-0.7057213005251862,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0002425478034229978,1.106416525457363,1.6191618859285757,12.776636097711002,9.260039453971565,-0.0002425478034229978
55,-4.441488804361774,-4.045437020098675,-0.9012962851006863,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.07332397071756208,0.9632569997684205,1.6916524010298866,9.188761933279084,5.9450442261105385,-0.07332397071756208
56,-6.354061927768241,-6.7982199230155125,-0.5452642131326231,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.009764004066960721,0.9948870392297747,1.6845986498442103,9.882960036682062,6.101017572945145,-0.009764004066960721
57,-11.438333371883338,-5.82934842526463,0.5309105085061565,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0022987323966528576,1.4296990034634711,1.8164816280787641,26.89670027813745,33.77236817760937,-0.0022987323966528576
58,-10.820039089427699,-6.0429834650152845,-0.1582000141090284,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.000270151794843682,1.0133175455210939,1.6891155813462735,10.311397891126575,8.213251851994219,-0.000270151794843682
59,-2.570715296259044,-8.571811429181142,-0.0612829192344686,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.12867059906890613,1.0370444227271145,1.6114475238223647,10.89041482541592,9.080312659377208,-0.12867059906890613
60,-6.3615423247967335,-7.749687967104535,0.5424310886407455,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0009051271997912546,0.7020218247263746,1.5056741564534584,5.035259119855955,2.287305295981123,-0.0009051271997912546
61,-4.423518208040834,-5.55948348332117,-0.6150715506577207,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.06561325641102662,0.984177265603719,1.7123632820293981,9.642225091832636,8.33797793464021,-0.06561325641102662
62,-7.12887061158377,-8.768478777231545,0.23908615806288447,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0012448926268929363,0.9475210870459689,1.6600979718096904,8.86178250749707,5.068336764548559,-0.0012448926268929363
63,-2.016158122879137,-4.7864271697764345,0.013195880920368497,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.23735285566120712,1.1948436829410687,1.5393700081324893,15.66187245654405,9.652310465487398,-0.23735285566120712
64,-10.417193483931978,-8.21629565869214,-0.7221020806167209,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0001031231903140608,1.1272172644111826,1.5350900481102923,13.403470548752644,-0.9833392030471186,-0.0001031231903140608
65,-10.430934533666482,-4.803028003163204,0.02975342633213285,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0025562397307670637,0.9789502415058515,1.6826777827954518,9.52687005403196,8.6174840603205,-0.0025562397307670637
66,-9.260033640251232,-7.252998694242087,-0.09874048813011471,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0029651254841482457,1.0900993083571777,1.740373958327891,12.305501235474827,11.715543578183645,-0.0029651254841482457
67,-10.061378091454623,-9.47056422722662,-0.6240675911643121,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.00014058464536952198,0.9624848628745394,1.8226237133736902,9.172439647350249,5.3868172253281585,-0.00014058464536952198
68,-2.560883799791929,-6.329678683057876,-0.5988655975167221,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.052932217114722825,0.8122740637426998,1.3282480462735957,6.490438867882735,3.0957883583771957,-0.052932217114722825
69,-8.351691198242339,-7.918404917058657,-0.3953790126148058,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0019462615324647489,1.1115456003277462,1.7641658561595244,12.928424403717894,9.8929061793133,-0.0019462615324647489
70,-6.330776810579323,-6.377114656430123,0.21147728864347504,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.020198073340780432,0.9904350846139367,1.6581061568064979,9.782167266715968,7.618499422089497,-0.020198073340780432
71,-3.995938827897824,-8.357388589789693,-0.9505809891346245,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.04647172490472537,0.825938357354926,0.8482088680798903,6.6978953446039835,2.4417773979724333,-0.04647172490472537
72,-8.770032759878283,-9.91835620163041,-0.7369051146599876,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0006601170584168725,0.6593465486696384,1.0377777204933611,4.564009593921245,1.7834487337937306,-0.0006601170584168725
73,-5.152846196888951,-9.818291629584488,-0.7720787733246796,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.017675631788581957,0.7181297008419129,0.9244755835287097,5.225522244700071,2.0632245487895005,-0.017675631788581957
74,-10.458415924508119,-4.457995993479441,0.06579961372206933,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0009989944910253786,1.4078873087053259,1.8389050443779638,25.579220678538004,75.9274683937858,-0.0009989944910253786
75,-2.591110701551248,-5.017785338315461,0.4843304635028327,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.4676480568585237,0.8806302950153501,1.603457793245006,7.596793039421033,4.144752391039587,-0.4676480568585237
76,-7.202246191172833,-4.488806439489867,-0.3050924843350662,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.020098043254698106,0.7984999596133396,1.7725282709277648,6.287817956452838,2.491403176325204,-0.020098043254698106
77,-10.985164642721926,-7.271065978236798,-0.936589334339218,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0005623312339006174,0.9386807322391967,1.748015467064362,8.683218554348496,5.237516396568763,-0.0005623312339006174
78,-3.549839474646056,-4.933220071504989,-0.8771482508060543,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.367112743135475,0.8701713107001511,1.5359486093719772,7.416027143393574,4.105713066425477,-0.367112743135475
79,-11.032525566245983,-4.228430302657793,0.9018643221406328,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.004841229405221287,1.9258231346212353,2.142842462459254,84.29913816454514,284.23660801620974,-0.004841229405221287
80,-4.682694613853532,-4.662697103960684,-0.28777404506266846,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.02374875811263524,0.9543099026734203,1.7004429547537139,9.001396716273243,5.813653574265622,-0.02374875811263524
81,-3.616549013578833,-7.042941809370176,0.6160378550069339,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.030294653340727253,0.7711688911707604,2.0670139494232496,5.904306459161164,2.8859640396366992,-0.030294653340727253
82,-6.959004437984013,-6.578345198174935,0.8934173264357432,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.021820951127181402,0.9602219607121835,1.717780748614172,9.124770721130126,5.717813306546403,-0.021820951127181402
83,-7.842878890748368,-5.880376372482761,-0.7712263466086221,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.002747659945145208,1.0123799860919631,1.6508226355646465,10.289161549137104,7.717775806906692,-0.002747659945145208
84,-3.647144792230586,-6.4167620302801724,0.9838358970485854,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.23464568907399835,0.32998853910197584,0.920630782028149,2.1379056700836148,0.43652459885970174,-0.23464568907399835
85,-5.6461246624105375,-6.4801538717189375,-0.4371280837071103,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.011814115319680482,1.0104043326637853,1.5858072948558932,10.242461322849882,5.660085194600578,-0.011814115319680482
86,-6.2489649416195,-5.549646683874988,-0.4908059346820819,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.014268162143000997,0.8689945346792404,1.9605780154586203,7.395959676532439,3.270674162810547,-0.014268162143000997
87,-6.469659368160613,-8.879549267052164,-0.06699103051356037,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0017660513388402458,0.884580373841289,1.3053332603331642,7.666204036399921,3.6939563975239937,-0.0017660513388402458
88,-4.4372624279170685,-8.548290283836579,0.5284774043247962,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.2089957844612033,0.11545497763401721,0.49809382458223883,1.3045327235547315,0.17430156356845067,-0.2089957844612033
89,-3.546370905398218,-8.996453324937068,-0.6461139817273074,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.3189661041864862,0.8860825012671497,0.9288827831997742,7.692765629430851,4.070354212998133,-0.3189661041864862
90,-6.135086114837904,-6.258957896853899,-0.2674227990037281,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.034535608228126534,0.9155239613785892,1.4961841858291556,8.232352561203578,4.419444452469123,-0.034535608228126534
91,-6.694994252472617,-5.851173480305807,-0.21799000296267323,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.016515944799396116,1.1080469460596576,1.5887648020072036,12.824692066183525,9.51919030036801,-0.016515944799396116
92,-5.346445583272723,-7.311294378423858,-0.5446625693796112,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.033875323672670495,0.9451232746437322,1.7266312618134376,8.812989945420174,6.721788969403378,-0.033875323672670495
93,-3.9771824490156718,-4.14019657238828,-0.5569665529773533,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.05013670962953173,0.9964888685610737,1.7486541302874814,9.919479142116097,6.698004556315233,-0.05013670962953173
94,-6.313082708532151,-4.099636843612714,-0.093226879172987,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.019155701713624712,1.0309892591936578,1.7369190259620682,10.739628511710539,8.9996913845099,-0.019155701713624712
95,-7.605419466547924,-5.674582531757836,-0.2122244232758892,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0038554136814934114,0.980663906922494,1.6976500775219623,9.564536017167287,6.983410879032979,-0.0038554136814934114
96,-4.305104373919772,-4.381217551982672,0.2631356636278912,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.05244276653082816,1.0002189822708634,1.6883878960328629,10.005043524554715,6.809191582539495,-0.05244276653082816
